"office","candidatename","partyname","electiondate","machinevotessum","absenteevotessum","earlyvotessum","totalvotessum","totalvotespercentage","xmlreporttime","electionname"
"State Representative District 4","GERALD L. BRADY","Democratic","2020-09-15T00:00:00.000","1373","1631","0","3004","61.57","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Mayor","JUSTEN WRIGHT","Democratic","2020-09-15T00:00:00.000","2039","1037","0","3076","21.4985","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council at Large","LORETTA WALSH","Democratic","2020-09-15T00:00:00.000","2686","2998","0","5684","19.2059","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City President of City Council","TRIPPI CONGO","Democratic","2020-09-15T00:00:00.000","5217","2142","0","7359","53.2181","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council at Large","ROBERT OLIVER","Democratic","2020-09-15T00:00:00.000","1804","1534","0","3338","11.2789","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 6","EVON L. MURRAY","Democratic","2020-09-15T00:00:00.000","55","28","0","83","6.61882","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 6","JOSUE ORTEGA","Democratic","2020-09-15T00:00:00.000","296","94","0","390","31.1005","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City President of City Council","HANIFA SHABAZZ","Democratic","2020-09-15T00:00:00.000","3596","2873","0","6469","46.7819","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 6","IAN ""JAHITI"" SMITH","Democratic","2020-09-15T00:00:00.000","219","88","0","307","24.4817","2020-09-18T17:37:47.000","2020 State Primary Election"
"Sussex County Council District 3","MARK G. SCHAEFFER","Republican","2020-09-15T00:00:00.000","2458","706","0","3164","50.3501","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Senator District 5","KYLE EVANS GAY","Democratic","2020-09-15T00:00:00.000","1576","2276","0","3852","56.5971","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Treasurer","DAWAYNE SIMS","Democratic","2020-09-15T00:00:00.000","4301","2754","0","7055","53.7647","2020-09-18T17:37:47.000","2020 State Primary Election"
"Kent County Levy Court District 1","JOANNE H. MASTEN","Democratic","2020-09-15T00:00:00.000","1646","1437","0","3083","77.9717","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Senator District 14","CRAIG PUGH","Republican","2020-09-15T00:00:00.000","1330","382","0","1712","64.6282","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Treasurer","VASH TURNER","Democratic","2020-09-15T00:00:00.000","4043","2024","0","6067","46.2353","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 7","DEVON HYNSON","Democratic","2020-09-15T00:00:00.000","443","150","0","593","41.6725","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council at Large","RYSHEEMA DIXON","Democratic","2020-09-15T00:00:00.000","2903","2100","0","5003","16.9049","2020-09-18T17:37:47.000","2020 State Primary Election"
"Sussex County Council District 3","IRWIN ""I.G."" BURTON III","Republican","2020-09-15T00:00:00.000","2218","902","0","3120","49.6499","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 1","KAREN ""BUTTER"" FLOWERS","Democratic","2020-09-15T00:00:00.000","315","105","0","420","17.7891","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Senator District 14","TERRANCE LEE BAKER","Republican","2020-09-15T00:00:00.000","760","177","0","937","35.3718","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 7","CHRIS JOHNSON","Democratic","2020-09-15T00:00:00.000","482","348","0","830","58.3275","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 1","LINDA GRAY","Democratic","2020-09-15T00:00:00.000","435","267","0","702","29.7332","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 1","ALBERT ""AL"" MILLS","Democratic","2020-09-15T00:00:00.000","471","219","0","690","29.2249","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 1","COBY OWENS","Democratic","2020-09-15T00:00:00.000","388","161","0","549","23.2529","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 2","SHANE DARBY","Democratic","2020-09-15T00:00:00.000","795","338","0","1133","53.0679","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Senator District 14","TERRELL WILLIAMS","Democratic","2020-09-15T00:00:00.000","695","665","0","1360","21.8299","2020-09-18T17:37:47.000","2020 State Primary Election"
"Kent County Levy Court District 1","MORGAN RUSSUM","Democratic","2020-09-15T00:00:00.000","427","444","0","871","22.0283","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 2","JOHN JOHNSON JR.","Democratic","2020-09-15T00:00:00.000","293","205","0","498","23.3255","2020-09-18T17:37:47.000","2020 State Primary Election"
"Sussex County Council District 2","ROBERT D. WILSON","Republican","2020-09-15T00:00:00.000","968","182","0","1150","31.3608","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 2","DOROTHY KING","Democratic","2020-09-15T00:00:00.000","80","87","0","167","7.82201","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 2","BILLY LANE JR.","Democratic","2020-09-15T00:00:00.000","223","114","0","337","15.7845","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 3","DAVON ""D"" MARQUE HALL","Democratic","2020-09-15T00:00:00.000","374","90","0","464","41.2444","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Senator District 14","KYRA L. HOFFNER","Democratic","2020-09-15T00:00:00.000","884","653","0","1537","24.6709","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council at Large","SAMUEL LAWRENCE GUY","Democratic","2020-09-15T00:00:00.000","1876","1573","0","3449","11.654","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Senator District 14","BRUCE C. ENNIS","Democratic","2020-09-15T00:00:00.000","1938","1395","0","3333","53.4992","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 3","ZANTHIA OLIVER","Democratic","2020-09-15T00:00:00.000","475","186","0","661","58.7556","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 4","DONALD FARRELL","Democratic","2020-09-15T00:00:00.000","284","126","0","410","26.9914","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council at Large","CHARLES POTTER JR.","Democratic","2020-09-15T00:00:00.000","1773","1330","0","3103","10.4849","2020-09-18T17:37:47.000","2020 State Primary Election"
"U.S. Senator","CHRISTOPHER A. COONS","Democratic","2020-09-15T00:00:00.000","37536","49796","0","87332","72.8501","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 10","KEITH A. JAMES II","Democratic","2020-09-15T00:00:00.000","363","203","0","566","18.5756","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 8","SEAN BARNEY","Democratic","2020-09-15T00:00:00.000","556","766","0","1322","49.3468","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 10","SEAN MATTHEWS","Democratic","2020-09-15T00:00:00.000","916","1565","0","2481","81.4243","2020-09-18T17:37:47.000","2020 State Primary Election"
"New Castle County President of County Council","KAREN HARTLEY-NAGLE","Democratic","2020-09-15T00:00:00.000","17371","13473","0","30844","40.1171","2020-09-18T17:37:47.000","2020 State Primary Election"
"Governor","DAVE GRAHAM","Republican","2020-09-15T00:00:00.000","997","550","0","1547","2.79005","2020-09-18T17:37:47.000","2020 State Primary Election"
"Governor","JULIANNE E. MURRAY","Republican","2020-09-15T00:00:00.000","18713","4106","0","22819","41.1546","2020-09-18T17:37:47.000","2020 State Primary Election"
"New Castle County President of County Council","MONIQUE JOHNS","Democratic","2020-09-15T00:00:00.000","14361","9982","0","24343","31.6616","2020-09-18T17:37:47.000","2020 State Primary Election"
"New Castle County President of County Council","CIRO POPPITI","Democratic","2020-09-15T00:00:00.000","8016","13682","0","21698","28.2214","2020-09-18T17:37:47.000","2020 State Primary Election"
"Sussex County Council District 2","CYNTHIA C. GREEN","Republican","2020-09-15T00:00:00.000","1289","142","0","1431","39.0237","2020-09-18T17:37:47.000","2020 State Primary Election"
"U.S. Senator","JESSICA SCARANE","Democratic","2020-09-15T00:00:00.000","19224","13323","0","32547","27.1499","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council at Large","TYRONE JOHNSON","Democratic","2020-09-15T00:00:00.000","1165","777","0","1942","6.56192","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 26","GABRIEL OLAWALE ADELAGUNJA","Democratic","2020-09-15T00:00:00.000","348","133","0","481","16.087","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 26","JOHN J. VIOLA","Democratic","2020-09-15T00:00:00.000","511","722","0","1233","41.2375","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 8","YVETTE SANTIAGO","Democratic","2020-09-15T00:00:00.000","532","445","0","977","31.6079","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 26","MADINAH WILSON-ANTON","Democratic","2020-09-15T00:00:00.000","822","454","0","1276","42.6756","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 27","EARL JAQUES","Democratic","2020-09-15T00:00:00.000","776","583","0","1359","38.873","2020-09-18T17:37:47.000","2020 State Primary Election"
"Governor","DAVID LAMAR WILLIAMS JR.","Democratic","2020-09-15T00:00:00.000","11758","6411","0","18169","15.2283","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 4","MICHELLE HARLEE","Democratic","2020-09-15T00:00:00.000","652","457","0","1109","73.0086","2020-09-18T17:37:47.000","2020 State Primary Election"
"Governor","COLIN BONINI","Republican","2020-09-15T00:00:00.000","14213","4948","0","19161","34.5573","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 27","ERIC A. MORRISON","Democratic","2020-09-15T00:00:00.000","1135","1002","0","2137","61.127","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Senator District 13","MARIE PINKNEY","Democratic","2020-09-15T00:00:00.000","1930","1181","0","3111","52.3737","2020-09-18T17:37:47.000","2020 State Primary Election"
"Governor","DAVID JOSEPH BOSCO","Republican","2020-09-15T00:00:00.000","2880","780","0","3660","6.6009","2020-09-18T17:37:47.000","2020 State Primary Election"
"U.S. Senator","JAMES ""JIM"" DEMARTINO","Republican","2020-09-15T00:00:00.000","15837","7429","0","23266","43.1107","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 34","BOB HAYNES","Democratic","2020-09-15T00:00:00.000","472","644","0","1116","46.2303","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 8","NATHAN FIELD","Democratic","2020-09-15T00:00:00.000","695","662","0","1357","50.6532","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 34","ADEWUNMI ""ADE"" KUFORIJI","Democratic","2020-09-15T00:00:00.000","585","713","0","1298","53.7697","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 8","MATTHEW W. POWELL","Democratic","2020-09-15T00:00:00.000","444","378","0","822","26.5933","2020-09-18T17:37:47.000","2020 State Primary Election"
"New Castle County Clerk of the Peace","AJA AJAVON","Democratic","2020-09-15T00:00:00.000","19952","16587","0","36539","49.2492","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 5","BREGETTA A. FIELDS","Democratic","2020-09-15T00:00:00.000","463","154","0","617","50.9496","2020-09-18T17:37:47.000","2020 State Primary Election"
"U.S. Senator","LAUREN WITZKE","Republican","2020-09-15T00:00:00.000","25542","5160","0","30702","56.8893","2020-09-18T17:37:47.000","2020 State Primary Election"
"Representative in Congress","MATTHEW M. HATHAWAY MORRIS","Republican","2020-09-15T00:00:00.000","10037","3864","0","13901","26.1888","2020-09-18T17:37:47.000","2020 State Primary Election"
"New Castle County Clerk of the Peace","LISA DARRAH","Democratic","2020-09-15T00:00:00.000","18396","19257","0","37653","50.7508","2020-09-18T17:37:47.000","2020 State Primary Election"
"Representative in Congress","LEE MURPHY","Republican","2020-09-15T00:00:00.000","30497","8682","0","39179","73.8112","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Senator District 5","DENISE BOWERS","Democratic","2020-09-15T00:00:00.000","762","1080","0","1842","27.0644","2020-09-18T17:37:47.000","2020 State Primary Election"
"Governor","JOHN C. CARNEY JR.","Democratic","2020-09-15T00:00:00.000","44680","56462","0","101142","84.7717","2020-09-18T17:37:47.000","2020 State Primary Election"
"Wilmington City Council District 5","CHRISTIAN WILLAUER","Democratic","2020-09-15T00:00:00.000","384","210","0","594","49.0504","2020-09-18T17:37:47.000","2020 State Primary Election"
"State Representative District 8","SHERAE'A ""RAE"" MOORE","Democratic","2020-09-15T00:00:00.000","845","447","0","1292","41.7988","2020-09-18T17:37:47.000","2020 State Primary Election"
"President","JOSEPH R. BIDEN","Democratic","2020-04-28T00:00:00.000","40046","41908","0","81954","89.3894","2020-07-09T17:09:34.000","April 28, 2020 Presidential Primary"
"President","ELIZABETH WARREN","Democratic","2020-04-28T00:00:00.000","1427","1423","0","2850","3.10857","2020-07-09T17:09:34.000","April 28, 2020 Presidential Primary"
"President","DONALD J. TRUMP","Republican","2020-04-28T00:00:00.000","21688","7188","0","28876","88.0473","2020-07-09T17:09:34.000","April 28, 2020 Presidential Primary"
"President","ROQUE ""ROCKY"" DE LA FUENTE","Republican","2020-04-28T00:00:00.000","1373","2547","0","3920","11.9527","2020-07-09T17:09:34.000","April 28, 2020 Presidential Primary"
"President","BERNIE SANDERS","Democratic","2020-04-28T00:00:00.000","3869","3009","0","6878","7.50202","2020-07-09T17:09:34.000","April 28, 2020 Presidential Primary"
